id,question,answer,explanation,unit
1757,Vickers 경도는 HV=1.854P/d²로 표현된다.,O,"[기계적 성질 9P] 맞다. 자료 기준으로 Vickers 경도는 HV=1.854P/d²로 표현된다. 핵심 판단축은 ‘Vickers와 Knoop 공식 구분’이다. 같은 단원에서는 수치, 방향성, 적용 대상을 바꿔 묻기 쉬우므로 해당 조건을 함께 확인해야 한다.",기계적 성질
1758,Knoop 경도시험은 반발높이만 측정한다.,X,[기계적 성질 9P] 틀리다. 올바른 내용은 ‘Knoop 경도시험은 Vickers와 원리는 같으나 압자 형태가 다이아몬드형이다.’이다. 이 문장은 ‘Knoop 경도시험은 반발높이만 측정한다.’처럼 Knoop과 Vickers 원리을 바꾼 형태다. 관련 개념을 비교할 때 수치·대상·방향 중 무엇이 바뀌었는지 먼저 확인해야 한다.,기계적 성질
1759,Knoop 압자는 대각선의 비가 7.11:1인 다이아몬드형이다.,O,"[기계적 성질 9P] 맞다. 자료 기준으로 Knoop 압자는 대각선의 비가 7.11:1인 다이아몬드형이다. 핵심 판단축은 ‘Knoop 압자 대각선 비’이다. 같은 단원에서는 수치, 방향성, 적용 대상을 바꿔 묻기 쉬우므로 해당 조건을 함께 확인해야 한다.",기계적 성질
1760,Knoop의 압흔 깊이는 장축 대각선 길이의 1/3로 깊다.,X,[기계적 성질 9P] 틀리다. 올바른 내용은 ‘Knoop의 압흔 깊이는 장축 대각선 길이의 1/30로 얕아 표면 미소경도 측정에 적당하다.’이다. 이 문장은 ‘Knoop의 압흔 깊이는 장축 대각선 길이의 1/3로 깊다.’처럼 Knoop 압흔 깊이와 미소경도을 바꾼 형태다. 관련 개념을 비교할 때 수치·대상·방향 중 무엇이 바뀌었는지 먼저 확인해야 한다.,기계적 성질
1761,Knoop은 load를 다양하게 바꿀 수 있어 매우 hard한 재료부터 soft한 재료까지 측정 가능하다.,O,"[기계적 성질 9P] 맞다. 자료 기준으로 Knoop은 load를 다양하게 바꿀 수 있어 매우 hard한 재료부터 soft한 재료까지 측정 가능하다. 핵심 판단축은 ‘Knoop 하중 조절성’이다. 같은 단원에서는 수치, 방향성, 적용 대상을 바꿔 묻기 쉬우므로 해당 조건을 함께 확인해야 한다.",기계적 성질
1762,Knoop은 치아 경조직에는 사용할 수 없고 유체 점성계수 측정에만 사용된다.,X,"[기계적 성질 9P] 틀리다. 올바른 내용은 ‘Knoop은 금속, enamel, dentin, 탄성 회복력이 있는 재료에도 사용할 수 있다.’이다. 이 문장은 ‘Knoop은 치아 경조직에는 사용할 수 없고 유체 점성계수 측정에만 사용된다.’처럼 Knoop 적용 재료을 바꾼 형태다. 관련 개념을 비교할 때 수치·대상·방향 중 무엇이 바뀌었는지 먼저 확인해야 한다.",기계적 성질
1763,Knoop 경도는 HK=14.22P/l²로 표현되며 l은 압흔의 장축 대각선 길이이다.,O,"[기계적 성질 9P] 맞다. 자료 기준으로 Knoop 경도는 HK=14.22P/l²로 표현되며 l은 압흔의 장축 대각선 길이이다. 핵심 판단축은 ‘Knoop 공식과 변수’이다. 같은 단원에서는 수치, 방향성, 적용 대상을 바꿔 묻기 쉬우므로 해당 조건을 함께 확인해야 한다.",기계적 성질
1764,Brinell과 Shore A durometer만 microhardness test로 분류된다.,X,[기계적 성질 9P] 틀리다. 올바른 내용은 ‘Vickers와 Knoop 경도시험은 microhardness test로 분류된다.’이다. 이 문장은 ‘Brinell과 Shore A durometer만 microhardness test로 분류된다.’처럼 미소경도시험 분류을 바꾼 형태다. 관련 개념을 비교할 때 수치·대상·방향 중 무엇이 바뀌었는지 먼저 확인해야 한다.,기계적 성질
1765,반발경도시험은 하중을 낙하시키거나 압입한 뒤 반발하는 정도를 측정한다.,O,"[기계적 성질 9P] 맞다. 자료 기준으로 반발경도시험은 하중을 낙하시키거나 압입한 뒤 반발하는 정도를 측정한다. 핵심 판단축은 ‘반발경도시험 측정 대상’이다. 같은 단원에서는 수치, 방향성, 적용 대상을 바꿔 묻기 쉬우므로 해당 조건을 함께 확인해야 한다.",기계적 성질
1766,Shore 경도시험은 136° 다이아몬드 피라미드를 표면에 압입한다.,X,[기계적 성질 10P] 틀리다. 올바른 내용은 ‘Shore 경도시험은 반경 1 mm 다이아몬드가 포함된 해머를 규정 높이에서 낙하시킨다.’이다. 이 문장은 ‘Shore 경도시험은 136° 다이아몬드 피라미드를 표면에 압입한다.’처럼 Shore와 Vickers 방식 구분을 바꾼 형태다. 관련 개념을 비교할 때 수치·대상·방향 중 무엇이 바뀌었는지 먼저 확인해야 한다.,기계적 성질
1767,"Shore 경도시험은 해머가 반발되는 정도, 즉 반발높이를 측정한다.",O,"[기계적 성질 10P] 맞다. 자료 기준으로 Shore 경도시험은 해머가 반발되는 정도, 즉 반발높이를 측정한다. 핵심 판단축은 ‘Shore 반발높이’이다. 같은 단원에서는 수치, 방향성, 적용 대상을 바꿔 묻기 쉬우므로 해당 조건을 함께 확인해야 한다.",기계적 성질
1768,Shore 경도는 탄성율 차이가 매우 큰 모든 재료에서도 항상 같은 신뢰성을 가진다.,X,"[기계적 성질 10P] 틀리다. 올바른 내용은 ‘Shore 경도는 탄성율 차이가 크지 않은 재료 간에는 비교적 신뢰성이 크지만, 차이가 큰 재료에서는 신뢰성이 떨어진다.’이다. 이 문장은 ‘Shore 경도는 탄성율 차이가 매우 큰 모든 재료에서도 항상 같은 신뢰성을 가진다.’처럼 Shore 경도 비교 조건을 바꾼 형태다. 관련 개념을 비교할 때 수치·대상·방향 중 무엇이 바뀌었는지 먼저 확인해야 한다.",기계적 성질
1769,Shore A durometer는 일정 하중으로 압흔침을 압입한 뒤 반발 정도로 경도를 측정한다.,O,"[기계적 성질 10P] 맞다. 자료 기준으로 Shore A durometer는 일정 하중으로 압흔침을 압입한 뒤 반발 정도로 경도를 측정한다. 핵심 판단축은 ‘Shore A와 간접인장시험 구분’이다. 같은 단원에서는 수치, 방향성, 적용 대상을 바꿔 묻기 쉬우므로 해당 조건을 함께 확인해야 한다.",기계적 성질
1770,Shore A durometer는 세라믹의 파괴인성 KIC만 측정한다.,X,[기계적 성질 10P] 틀리다. 올바른 내용은 ‘Shore A durometer는 고무처럼 탄성 있는 재료의 상대적 경도 비교에 사용된다.’이다. 이 문장은 ‘Shore A durometer는 세라믹의 파괴인성 KIC만 측정한다.’처럼 Shore A 적용 대상을 바꾼 형태다. 관련 개념을 비교할 때 수치·대상·방향 중 무엇이 바뀌었는지 먼저 확인해야 한다.,기계적 성질
1771,유체에서는 횡방향 이동 시 전단응력 τ가 발생한다.,O,"[기계적 성질 10P] 맞다. 자료 기준으로 유체에서는 횡방향 이동 시 전단응력 τ가 발생한다. 핵심 판단축은 ‘유체 유동과 전단응력’이다. 같은 단원에서는 수치, 방향성, 적용 대상을 바꿔 묻기 쉬우므로 해당 조건을 함께 확인해야 한다.",기계적 성질
1772,전단응력은 τ=(du/dy)/η로 표현되어 점성계수와 반비례한다.,X,[기계적 성질 10P] 틀리다. 올바른 내용은 ‘전단응력은 τ=η(du/dy)=η(dε/dt)로 표현된다.’이다. 이 문장은 ‘전단응력은 τ=(du/dy)/η로 표현되어 점성계수와 반비례한다.’처럼 전단응력과 점성계수 공식을 바꾼 형태다. 관련 개념을 비교할 때 수치·대상·방향 중 무엇이 바뀌었는지 먼저 확인해야 한다.,기계적 성질
1773,점성계수는 유체의 흐름에 대한 저항성이며 1/flow로 표현된다.,O,"[기계적 성질 10P] 맞다. 자료 기준으로 점성계수는 유체의 흐름에 대한 저항성이며 1/flow로 표현된다. 핵심 판단축은 ‘점성계수와 flow의 반비례 관계’이다. 같은 단원에서는 수치, 방향성, 적용 대상을 바꿔 묻기 쉬우므로 해당 조건을 함께 확인해야 한다.",기계적 성질
1774,점성계수의 단위는 MPa√m이며 1 P는 1 cP이다.,X,[기계적 성질 10P] 틀리다. 올바른 내용은 ‘점성계수의 단위로 poise가 제시되며 1 P는 100 cP이다.’이다. 이 문장은 ‘점성계수의 단위는 MPa√m이며 1 P는 1 cP이다.’처럼 점성계수 단위와 환산을 바꾼 형태다. 관련 개념을 비교할 때 수치·대상·방향 중 무엇이 바뀌었는지 먼저 확인해야 한다.,기계적 성질
1775,20℃ 물의 점성계수는 1 cP로 제시된다.,O,"[기계적 성질 10P] 맞다. 자료 기준으로 20℃ 물의 점성계수는 1 cP로 제시된다. 핵심 판단축은 ‘물 점성계수 기준 수치’이다. 같은 단원에서는 수치, 방향성, 적용 대상을 바꿔 묻기 쉬우므로 해당 조건을 함께 확인해야 한다.",기계적 성질
1776,Non-setting liquid의 점성은 온도에 비례하고 시간에 따라 반드시 증가한다.,X,[기계적 성질 10P] 틀리다. 올바른 내용은 ‘Non-setting liquid의 점성은 온도에 반비례하고 시간과는 관계가 없다.’이다. 이 문장은 ‘Non-setting liquid의 점성은 온도에 비례하고 시간에 따라 반드시 증가한다.’처럼 Non-setting liquid 점성의 온도·시간 의존성을 바꾼 형태다. 관련 개념을 비교할 때 수치·대상·방향 중 무엇이 바뀌었는지 먼저 확인해야 한다.,기계적 성질
1777,Newtonian 유체는 점성계수가 변형속도에 관계없이 일정하다.,O,"[기계적 성질 10P] 맞다. 자료 기준으로 Newtonian 유체는 점성계수가 변형속도에 관계없이 일정하다. 핵심 판단축은 ‘Newtonian과 pseudoplastic 구분’이다. 같은 단원에서는 수치, 방향성, 적용 대상을 바꿔 묻기 쉬우므로 해당 조건을 함께 확인해야 한다.",기계적 성질
1778,Pseudoplastic 유체는 변형속도가 증가함에 따라 점성계수가 증가한다.,X,[기계적 성질 10P] 틀리다. 올바른 내용은 ‘Pseudoplastic 유체는 변형속도가 증가함에 따라 점성계수가 감소한다.’이다. 이 문장은 ‘Pseudoplastic 유체는 변형속도가 증가함에 따라 점성계수가 증가한다.’처럼 Pseudoplastic과 dilatant 구분을 바꾼 형태다. 관련 개념을 비교할 때 수치·대상·방향 중 무엇이 바뀌었는지 먼저 확인해야 한다.,기계적 성질
1779,"Pseudoplastic은 thixotropy, shear thinning effect와 연결된다.",O,"[기계적 성질 10P] 맞다. 자료 기준으로 Pseudoplastic은 thixotropy, shear thinning effect와 연결된다. 핵심 판단축은 ‘Pseudoplastic과 shear thinning’이다. 같은 단원에서는 수치, 방향성, 적용 대상을 바꿔 묻기 쉬우므로 해당 조건을 함께 확인해야 한다.",기계적 성질
1780,Dilatant 유체는 변형속도가 증가함에 따라 점성계수가 감소한다.,X,[기계적 성질 10P] 틀리다. 올바른 내용은 ‘Dilatant 유체는 변형속도가 증가함에 따라 점성계수가 증가한다.’이다. 이 문장은 ‘Dilatant 유체는 변형속도가 증가함에 따라 점성계수가 감소한다.’처럼 Dilatant와 pseudoplastic 방향 구분을 바꾼 형태다. 관련 개념을 비교할 때 수치·대상·방향 중 무엇이 바뀌었는지 먼저 확인해야 한다.,기계적 성질
1781,점탄성 재료는 탄성과 점성을 함께 띠는 재료로 두 성질이 혼합된 상태이다.,O,"[기계적 성질 10P] 맞다. 자료 기준으로 점탄성 재료는 탄성과 점성을 함께 띠는 재료로 두 성질이 혼합된 상태이다. 핵심 판단축은 ‘점탄성의 탄성·점성 혼합성’이다. 같은 단원에서는 수치, 방향성, 적용 대상을 바꿔 묻기 쉬우므로 해당 조건을 함께 확인해야 한다.",기계적 성질
1782,자연계 재료는 대부분 완전탄성체나 이상유체라서 점탄성은 예외적이다.,X,[기계적 성질 10P] 틀리다. 올바른 내용은 ‘완전탄성체나 이상유체는 존재하지 않으며 대부분 재료는 점탄성적 성질을 보인다.’이다. 이 문장은 ‘자연계 재료는 대부분 완전탄성체나 이상유체라서 점탄성은 예외적이다.’처럼 현실 재료의 점탄성 성질을 바꾼 형태다. 관련 개념을 비교할 때 수치·대상·방향 중 무엇이 바뀌었는지 먼저 확인해야 한다.,기계적 성질
1783,탄성체는 spring으로 모형화된다.,O,"[기계적 성질 11P] 맞다. 자료 기준으로 탄성체는 spring으로 모형화된다. 핵심 판단축은 ‘spring과 dash pot 대응’이다. 같은 단원에서는 수치, 방향성, 적용 대상을 바꿔 묻기 쉬우므로 해당 조건을 함께 확인해야 한다.",기계적 성질
1784,Elastic solid는 loading rate가 증가할수록 기계적 성질이 반드시 비례한다.,X,[기계적 성질 11P] 틀리다. 올바른 내용은 ‘Elastic solid는 loading rate와 기계적 성질이 상관없다고 제시된다.’이다. 이 문장은 ‘Elastic solid는 loading rate가 증가할수록 기계적 성질이 반드시 비례한다.’처럼 탄성체와 점성체의 rate 의존성을 바꾼 형태다. 관련 개념을 비교할 때 수치·대상·방향 중 무엇이 바뀌었는지 먼저 확인해야 한다.,기계적 성질
1785,점성체는 dash pot 또는 충격 흡수장치로 모형화된다.,O,"[기계적 성질 11P] 맞다. 자료 기준으로 점성체는 dash pot 또는 충격 흡수장치로 모형화된다. 핵심 판단축은 ‘점성체와 dash pot 대응’이다. 같은 단원에서는 수치, 방향성, 적용 대상을 바꿔 묻기 쉬우므로 해당 조건을 함께 확인해야 한다.",기계적 성질
1786,Viscous fluid에서는 strain rate가 변해도 stress와 관계가 없다.,X,[기계적 성질 11P] 틀리다. 올바른 내용은 ‘Viscous fluid에서는 strain rate와 stress가 비례한다.’이다. 이 문장은 ‘Viscous fluid에서는 strain rate가 변해도 stress와 관계가 없다.’처럼 점성체의 rate 의존성을 바꾼 형태다. 관련 개념을 비교할 때 수치·대상·방향 중 무엇이 바뀌었는지 먼저 확인해야 한다.,기계적 성질
1787,Maxwell 모형은 탄성과 점성이 직렬로 연결된 모형이다.,O,"[기계적 성질 11P] 맞다. 자료 기준으로 Maxwell 모형은 탄성과 점성이 직렬로 연결된 모형이다. 핵심 판단축은 ‘Maxwell과 Voigt 연결 방식’이다. 같은 단원에서는 수치, 방향성, 적용 대상을 바꿔 묻기 쉬우므로 해당 조건을 함께 확인해야 한다.",기계적 성질
1788,Voigt 모형은 탄성과 점성이 직렬로 연결된 모형이다.,X,[기계적 성질 11P] 틀리다. 올바른 내용은 ‘Voigt 모형은 탄성과 점성이 병렬로 연결된 모형이다.’이다. 이 문장은 ‘Voigt 모형은 탄성과 점성이 직렬로 연결된 모형이다.’처럼 Voigt와 Maxwell 연결 방식을 바꾼 형태다. 관련 개념을 비교할 때 수치·대상·방향 중 무엇이 바뀌었는지 먼저 확인해야 한다.,기계적 성질
1789,점탄성체는 Maxwell 모형과 Voigt 모형이 함께 혼합된 양상을 보인다.,O,"[기계적 성질 11P] 맞다. 자료 기준으로 점탄성체는 Maxwell 모형과 Voigt 모형이 함께 혼합된 양상을 보인다. 핵심 판단축은 ‘점탄성체의 혼합 모형’이다. 같은 단원에서는 수치, 방향성, 적용 대상을 바꿔 묻기 쉬우므로 해당 조건을 함께 확인해야 한다.",기계적 성질
1790,점탄성체는 외력 작용 시 순간 탄성변형 없이 영구변형만 나타낸다.,X,[기계적 성질 11P] 틀리다. 올바른 내용은 ‘점탄성체는 외력 작용 시 순간적으로 일어나는 탄성변형을 보일 수 있다.’이다. 이 문장은 ‘점탄성체는 외력 작용 시 순간 탄성변형 없이 영구변형만 나타낸다.’처럼 점탄성체의 순간 반응을 바꾼 형태다. 관련 개념을 비교할 때 수치·대상·방향 중 무엇이 바뀌었는지 먼저 확인해야 한다.,기계적 성질
1791,점탄성체는 외력 작용 중 시간 경과에 따라 서서히 일어나는 변형을 보일 수 있다.,O,"[기계적 성질 11P] 맞다. 자료 기준으로 점탄성체는 외력 작용 중 시간 경과에 따라 서서히 일어나는 변형을 보일 수 있다. 핵심 판단축은 ‘점탄성체의 지연 변형’이다. 같은 단원에서는 수치, 방향성, 적용 대상을 바꿔 묻기 쉬우므로 해당 조건을 함께 확인해야 한다.",기계적 성질
1792,점탄성체는 하중 제거 후 모든 변형이 즉시 완전히 회복된다.,X,[기계적 성질 11P] 틀리다. 올바른 내용은 ‘점탄성체는 하중 제거 후 시간 경과에 따라 서서히 회복되는 변형을 보일 수 있다.’이다. 이 문장은 ‘점탄성체는 하중 제거 후 모든 변형이 즉시 완전히 회복된다.’처럼 점탄성체의 지연 회복을 바꾼 형태다. 관련 개념을 비교할 때 수치·대상·방향 중 무엇이 바뀌었는지 먼저 확인해야 한다.,기계적 성질
1793,점탄성체에서는 하중 제거 후에도 영구변형이 남을 수 있다.,O,"[기계적 성질 11P] 맞다. 자료 기준으로 점탄성체에서는 하중 제거 후에도 영구변형이 남을 수 있다. 핵심 판단축은 ‘점탄성체의 회복되지 않는 변형’이다. 같은 단원에서는 수치, 방향성, 적용 대상을 바꿔 묻기 쉬우므로 해당 조건을 함께 확인해야 한다.",기계적 성질
1794,"응력은 단위면적당 힘의 성격이고, 변형률은 본래 크기에 대한 변형량의 비율이다.",O,"[기계적 성질 1P] 응력과 변형률은 함께 쓰이지만 정의 기준이 다르다. 응력은 단위면적당 외력에 대한 내부 반발력이고, 변형률은 원래 크기에 대한 변형량의 비율이다. 두 개념을 서로 바꾸면 공식과 단위가 모두 어긋난다.",기계적 성질
1795,"응력은 σ=F/A, 변형률은 ε=ΔL/L0로 표현된다.",O,"[기계적 성질 1P] 응력 공식은 힘을 단면적으로 나눈 값이고, 변형률은 변형량을 원래 길이로 나눈 비율이다. 두 식은 모두 기계적 성질의 기본식이지만 물리적 의미가 다르다. 분자와 분모를 바꾸는 함정에 주의해야 한다.",기계적 성질
1796,"탄성한도는 영구변형이 남지 않는 최대응력이고, 비례한도는 응력과 변형률의 정비례가 성립하는 최대응력이다.",O,"[기계적 성질 2P] 비례한도와 탄성한도는 인접한 개념이지만 기준이 다르다. 비례한도는 Hooke 법칙의 정비례 관계, 탄성한도는 영구변형이 남지 않는지를 기준으로 한다. 둘을 완전히 같은 정의로 처리하면 틀린다.",기계적 성질
1797,항복강도는 파절이 일어나는 응력이며 보통 10% 또는 20% offset으로 정한다.,X,[기계적 성질 2P] 항복강도는 파절강도가 아니라 소성변형이 시작되는 기준이다. 자료의 offset 기준도 0.1% 또는 0.2% 영구변형률이다. 개념과 수치를 동시에 바꾼 함정이다.,기계적 성질
1798,"극한강도는 공칭응력-변형률 곡선의 최대 강도이고, 파절강도는 실제 파절이 일어나는 응력이다.",O,"[기계적 성질 2P], [기계적 성질 3P] 극한강도는 곡선의 최대점이고 파절강도는 재료가 파절되는 지점의 응력이다. 자료에서는 파절강도가 UTS와 보통 다르다고 설명한다. 그래프에서 최대점과 파절점을 분리해 읽어야 한다.",기계적 성질
1799,"공칭응력은 단면적 감소를 보정하고, 진응력은 처음 단면적으로만 계산한다.",X,"[기계적 성질 3P] 설명이 반대로 되어 있다. 진응력은 인장 중 단면적 감소를 보정하고, 공칭응력은 처음 단면적을 기준으로 계산한다. 단면적 보정 여부가 두 응력의 핵심 차이다.",기계적 성질
1800,"응력-변형률 곡선에서 탄성계수는 직선부 기울기, 인성은 파절시까지 곡선 하방 면적으로 해석한다.",O,"[기계적 성질 3P], [기계적 성질 4P] 탄성계수는 강성의 지표로 직선부 기울기다. 인성은 재료가 파괴될 때까지 흡수한 전체 에너지이므로 곡선 하방 면적과 관련된다. 기울기와 면적을 구분하는 것이 핵심이다.",기계적 성질
1801,"탄성에너지율은 파절시까지의 전체 면적이고, 인성은 비례한도까지의 탄성영역 면적이다.",X,"[기계적 성질 3P], [기계적 성질 4P] 두 개념의 면적 범위가 바뀌었다. 탄성에너지율은 비례한도까지의 탄성영역 면적이고, 인성은 파절시까지 탄성영역과 소성영역을 모두 포함한 면적이다. 범위 기준을 정확히 구분해야 한다.",기계적 성질
1802,"연성은 인장응력 하의 영구변형 능력이고, 전성은 압축응력 하의 영구변형 능력이다.",O,"[기계적 성질 4P] 연성과 전성은 모두 파괴 없이 영구변형될 수 있는 정도와 관련된다. 연성은 길게 늘어나는 인장응력, 전성은 넓게 퍼지는 압축응력과 연결된다. 하중 방향을 바꾸면 틀린다.",기계적 성질
1803,"연성파괴는 소성변형 없이 빠르게 일어나고, 취성파괴는 소성변형 후 천천히 일어난다.",X,[기계적 성질 4P] 연성파괴와 취성파괴의 설명이 서로 바뀌었다. 연성파괴는 소성변형 후 파괴가 일어나며 crack 전파가 느리다. 취성파괴는 소성변형 없이 빠르게 진행될 수 있다.,기계적 성질
1804,취성재료에서는 균열이나 notch 부위의 응력집중 때문에 외부 하중보다 큰 국소 응력이 생겨 파절이 촉진될 수 있다.,O,[기계적 성질 5P] 취성재료의 파괴는 균열에 집중된 응력과 균열 전파로 설명된다. Griffith crack theory도 crack이나 notch에서 응력이 집중된다는 점을 강조한다. 작은 외력으로도 파절이 가능한 이유가 여기에 있다.,기계적 성질
1805,취성재료는 직접 인장시험이 어려울 수 있어 압축시험이나 disk 시편 압축을 이용한 간접인장시험이 활용된다.,O,[기계적 성질 5P] 자료는 취성재료에서 압축시험이 많이 시행된다고 제시한다. 간접인장시험도 취성이 큰 재료에서 직접 인장시험이 어려워 disk 압축으로 극한 인장강도를 측정한다. 재료 특성에 따른 시험 선택을 묻는 조합이다.,기계적 성질
1806,"3점 굽힘시험과 이축 굽힘시험은 모두 굽힘강도 평가와 관련되지만, 이축 굽힘시험은 얇은 취성재료의 원판형 시편에 맞춘 방법이다.",O,[기계적 성질 6P] 3점 굽힘시험은 치과재료와 취성재료의 굽힘강도 측정에 많이 사용된다. 이축 굽힘시험은 얇은 취성재료를 위해 원판형 시편을 이용한다. 둘 다 굽힘 관련 시험이지만 적용 조건이 다르다.,기계적 성질
1807,평면상 원형 결합계면과 원주상 띠상 결합계면의 전단결합강도 공식은 모두 τ=4P/πd²이다.,X,"[기계적 성질 6P] 계면 형태에 따라 공식이 다르다. 평면상 원형 결합계면은 τ=4P/πd²이고, 원주상 띠상 결합계면은 τ=P/πdh이다. 계면 형태를 무시하고 하나의 식으로 일반화하면 틀린다.",기계적 성질
1808,피로는 항복강도 이하의 낮은 반복응력에서도 미시적 변형 축적으로 발생할 수 있다.,O,[기계적 성질 7P] 피로는 단회 큰 하중보다 반복적 또는 주기적 응력이 핵심이다. 자료는 항복강도 이하의 반복응력에서도 미시적 변형이 축적되어 재질 변화가 나타난다고 설명한다. 낮은 응력도 반복되면 파괴로 이어질 수 있다.,기계적 성질
1809,"Fatigue strength는 파괴까지의 반복 횟수이고, fatigue life는 지정 cycle에서의 stress level이다.",X,[기계적 성질 7P] 두 용어가 서로 바뀌었다. Fatigue strength는 지정된 cycle에서 파절이 일어나는 stress level이다. Fatigue life는 파괴가 일어날 때까지의 반복 횟수이다.,기계적 성질
1810,"크리프는 일정 stress 하에서 strain이 증가하는 현상이고, stress relaxation은 일정 strain 하에서 stress가 감소하는 현상이다.",O,"[기계적 성질 7P], [기계적 성질 8P] 둘 다 시간의존 거동이지만 고정 조건이 다르다. 크리프는 일정 load나 stress 하의 변형 증가이고, stress relaxation은 일정 strain 조건에서 stress 감소다. 고정하는 값이 무엇인지가 핵심이다.",기계적 성질
1811,아말감 수복물은 항복강도보다 낮은 교합응력에서도 변형되어 변연부 돌출로 이어질 수 있다.,O,"[기계적 성질 7P] 자료의 크리프 임상 예시는 아말감 수복물이다. 교합력으로 항복강도보다 낮은 응력에서도 변형이 생길 수 있고, 교합면 형상 변형 및 변연부 돌출이 발생할 수 있다. 낮은 응력이라도 시간의존 변형은 임상 문제가 된다.",기계적 성질
1812,"점조도는 고무인상재와 시멘트의 퍼짐 정도를 뜻하며, 자료에서는 흐름성과 구분되는 용어로 제시된다.",O,[기계적 성질 8P] 점조도는 정하중 작용 시 고무인상재와 합착용 시멘트가 퍼지는 정도다. 자료는 점조도가 흐름성과 구분되어 사용된다고 강조한다. 둘을 완전한 동의어로 처리하면 틀린다.,기계적 성질
1813,경도는 모든 재료 사이에서 내마모성을 직접 비교할 수 있는 보편 지표이다.,X,"[기계적 성질 8P] 조건이 빠진 일반화다. 같은 종류의 재료에서는 경도를 내마모성 지표로 볼 수 있지만, 서로 다른 종류의 재료에서는 직접 관련시키면 안 된다. 내마모성은 여러 인자가 복합적으로 관여한다.",기계적 성질
1814,"Brinell은 강철구를, Vickers는 136° 다이아몬드 피라미드를 압자로 사용한다.",O,"[기계적 성질 9P] 경도시험의 압자 형태는 시험법 구분의 핵심이다. Brinell은 steel ball, Vickers는 136° diamond pyramid를 사용한다. 압자 형태를 서로 바꿔 묻는 함정에 주의해야 한다.",기계적 성질
1815,"Rockwell은 압흔 깊이를 측정하며, percent recovery는 하중 후 깊이와 하중 제거 10분 뒤 깊이의 차이를 이용한다.",O,"[기계적 성질 9P] Rockwell 경도시험은 압흔 깊이를 기준으로 한다. 자료의 percent recovery는 (A-B)/A×100이며, A는 하중 후 깊이, B는 하중 제거 10분 뒤 깊이다. 깊이 측정과 회복률이 연결된다.",기계적 성질
1816,Vickers의 HV와 Knoop의 HK는 같은 공식인 14.22P/l²로 계산된다.,X,[기계적 성질 9P] Knoop은 HK=14.22P/l²로 계산한다. Vickers는 HV=1.854P/d²이다. 둘 다 microhardness test지만 압자 형상과 공식은 다르다.,기계적 성질
1817,Vickers와 Knoop은 microhardness test로 분류되며 치아 경조직의 경도 평가와 연결될 수 있다.,O,"[기계적 성질 9P] 자료는 Vickers와 Knoop을 microhardness test로 정리한다. Vickers는 세라믹과 치아 경조직, Knoop은 enamel과 dentin 등에도 적용 가능하다. 미소경도시험의 적용 범위를 함께 잡아야 한다.",기계적 성질
1818,"Shore 경도시험은 반발높이를 보며, 탄성율 차이가 큰 재료 사이에서는 신뢰성이 떨어질 수 있다.",O,[기계적 성질 10P] Shore 경도시험은 해머의 반발 정도로 경도를 측정한다. 반발량은 재료의 탄성율 영향도 받으므로 탄성율 차이가 큰 재료 간 비교에서는 신뢰성이 떨어질 수 있다. 경도값 해석에는 비교 조건이 중요하다.,기계적 성질
1819,"Non-setting liquid의 점성은 온도에 반비례하며, 점성계수는 유체의 흐름에 대한 저항성이다.",O,[기계적 성질 10P] 점성계수는 1/flow로 정리되는 흐름 저항성이다. 자료는 non-setting liquid의 점성이 온도에 반비례하고 시간과 무관하다고 제시한다. 온도와 점성의 방향을 반대로 바꾸면 틀린다.,기계적 성질
1820,"Newtonian은 점성계수가 변형속도와 무관하고, pseudoplastic은 변형속도 증가 시 감소한다.",O,[기계적 성질 10P] Newtonian 유체는 변형속도와 관계없이 점성계수가 일정하다. Pseudoplastic은 변형속도가 증가할수록 점성계수가 감소한다. 유체 유형은 변형속도에 따른 점성 변화로 구분한다.,기계적 성질
1821,Pseudoplastic과 dilatant는 모두 변형속도가 증가할수록 점성계수가 감소한다.,X,"[기계적 성질 10P] Pseudoplastic은 변형속도 증가 시 점성계수가 감소하지만, dilatant는 증가한다. 두 유체의 변화 방향은 서로 반대다. 모두 shear thinning으로 묶으면 틀린다.",기계적 성질
1822,"탄성체는 spring, 점성체는 dash pot으로 모형화된다.",O,"[기계적 성질 11P] 자료의 표에서 elastic solid는 spring, viscous fluid는 dash pot 또는 충격 흡수장치로 제시된다. 점탄성 모형은 이 두 요소를 조합하여 이해한다. 요소 대응을 바꾸면 Maxwell과 Voigt 구분도 흔들린다.",기계적 성질
1823,"탄성체는 loading rate와 무관한 반면, 점성체는 strain rate와 stress가 비례한다.",O,[기계적 성질 11P] 자료는 elastic solid에서 loading rate와 기계적 성질이 상관없다고 정리한다. 반대로 viscous fluid에서는 strain rate와 stress가 비례한다. rate 의존성은 탄성체와 점성체를 나누는 기준이다.,기계적 성질
1824,"Maxwell 모형은 병렬, Voigt 모형은 직렬 연결이다.",X,"[기계적 성질 11P] 연결 방식이 반대로 되어 있다. Maxwell 모형은 탄성과 점성의 직렬 연결이고, Voigt 모형은 병렬 연결이다. 직렬·병렬 치환은 점탄성 모형에서 대표적인 함정이다.",기계적 성질
